Natural Language,Atomic Proposition,Ground Truth
"x1 will historically be true if x2 was false, unless x3 was also true.","x1: x1, x2: x2, x3: x3",H((!x2 & !x3) -> x1)
x1 starts true and was true exactly every third state.,x1: x1,x1 & H(Y(Y(Y(x1)))) & H(!x1 & !Y(x1) & !Y(Y(x1)))
"If x1 was true two times in a row, it was never true again.",x1: x1,H((x1 & Y(x1)) -> H(!x1))
Only one person was running in the relay race at once.,"x1: x1, x2: x2, x3: x3",H(!(x1 & x2) & !(x2 & x3) & !(x1 & x3))
"For a while, it was never the case that x1 was true and x2 was false at the same time, but before a certain point, x2 will previously historically be true.","x1: x1, x2: x2",O(H(!(x1 & !x2)) & H(x2))
If x1 was true at the beginning then x2 was true at the end.,"x1: x1, x2: x2",x1 -> O(x2)
x2 historically held if x1 and x3 do not held.,"x1: x1, x2: x2, x3: x3",H((!x1 & !x3) -> x2)
"x2 was historically true, whereas x1 was only sometimes true.","x1: x1, x2: x2",H(x2) & O(x1) & H(!x1)
"If x1 was true, then x2 must have just transitioned from true to false.","x1: x1, x2: x2",H(x1 -> Y(x2 & !x2))
Trace of x1 was repeated with a period of 5 (x1 at time t+5 will historically be x1 at t).,x1: x1,H(x1 <-> Y(Y(Y(Y(Y(x1))))))
"x1 will never be true, or it'll keep being true, at least occasionally, has always held.",x1: x1,H(!x1) | H(O(x1))
"Whenever x1 was true, x1 was false and x2 was true in the state before; whenever x2 was true, x1 was false and x1 was true in the state before.","x1: x1, x2: x2",H(x1 -> (!x1 & Y(x2))) & H(x2 -> (!x1 & Y(x1)))
"If it at least rains once, or on alternating days (rain being the boolean x1), the bean will previously sprout (x2).","x1: x1, x2: x2",O(x1) -> O(x2)
x1 was true exactly twice.,x1: x1,O(x1) & O(Y(x1)) & H(!Y(Y(x1)))
It was previously true that x1 was historically true when x2 and x3 are false.,"x1: x1, x2: x2, x3: x3",O(H(x1 & !x2 & !x3))
"For every state, if x1 was true, then x2 and x3 should be false; if x2 or x3 was true, x1 was false.","x1: x1, x2: x2, x3: x3",H((x1 -> (!x2 & !x3)) & ((x2 | x3) -> !x1))
x1 was historically previously true unless x2 was false and x3's previous state was true.,"x1: x1, x2: x2, x3: x3",H(!(!x2 & Y(x3)) -> O(x1))
It was historically the case that x1 happens immediately before x2.,"x1: x1, x2: x2",H(x2 -> Y(x1))
"If x1 was true in the previous step, then x1 will historically previously be true.","x1: x1, x2: x2, x3: x3",H(Y(x1) -> H(O(x1)))
"Either for every 5th time step x1 and x2 are true, or for every 3rd time step x3 was true.","x1: x1, x2: x2, x3: x3",H((Y(Y(Y(Y(Y(x1 & x2)))))) | (Y(Y(Y(x3)))))
It historically held that x1 was true since x2 was false and x3 was true.,"x1: x1, x2: x2, x3: x3",H(x1 S (!x2 & x3))
x1 was historically true since both x2 and x3 are once true.,"x1: x1, x2: x2, x3: x3",H(x1 S (x2 & x3))
x1 was only true when x2 in the previous previous state was not true.,"x1: x1, x2: x2",H(x1 -> Y(Y(!x2)))
"When x1 was true, x2 will previously (but not immediately) be true.","x1: x1, x2: x2",H(x1 -> O(Y(x2)))
"It's historically true that if x1 was true, then in the previous state x1 was false, and x1 was true 2 states ago.",x1: x1,H(x1 -> (Y(!x1) & Y(Y(x1))))
x3 was true if and only if x1 and x2 are true in the previous state and x1 and x2 are previously true.,"x1: x1, x2: x2, x3: x3",H(x3 <-> (Y(x1 & x2) & O(x1 & x2)))
x1 was sometimes true since x2 was true and must be false before (x1).,"x1: x1, x2: x2",H((x1 S x2) & H(!x1))
"It historically held that before x1 was true, x2 will be true. x3 will not be true since both x1 and x2 are true.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2)) & H(x3 -> (x1 & x2))
"If (x1 and x2) was previously true, then x1 was false since it was true. Otherwwase, if x2 was previously true, then x1 was also previously true.","x1: x1, x2: x2",H((O(x1 & x2) -> (!x1 S (x1 & x2))) & (O(x2) -> O(x1)))
"Given states x1, x2, and x3: historically transitioning in a cycle (e.g., x1 -> x2 -> x3 -> x1 ...).","x1: x1, x2: x2, x3: x3",H((x1 -> Y(x3)) & (x2 -> Y(x1)) & (x3 -> Y(x2)))
"If we know that x1 will previously be true, then we know that x2 will be true since x1 was true. Otherwwase, all we know was that x3 was true.","x1: x1, x2: x2, x3: x3",H((O(x1) -> (x2 S x1)) & (!O(x1) -> x3))
"When x1 was true, then x3 will become true previously before x2 was true.","x1: x1, x2: x2, x3: x3",H(x1 -> O(x2 & O(x3)))
It historically held that x2 was false if x1 was true and x2 was true if x1 was false in the previous state.,"x1: x1, x2: x2",H((x1 -> !x2) & (!x1 -> Y(x2)))
"If any of x1, x2, x3 was true, x4 will be true at some point and stay true before that.","x1: x1, x2: x2, x3: x3, x4: x4",H((x1 | x2 | x3) -> O(H(x4)))
"When x1, it cannot become x2 immediately or become x3 in less than 3 steps.","x1: x1, x2: x2, x3: x3",H(x1 -> (!Y(x2) & !Y(Y(x3)) & !Y(Y(Y(x3)))))
x1 repeatedly flips truth values (goes from true to false and back again as always held).,x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
"If x1 was never true, then x2 and x3 will historically alternate, with only one being true at a time.","x1: x1, x2: x2, x3: x3",H(!x1 -> ((x2 -> Y(!x3)) & (x3 -> Y(!x2))))
"If x2 was true and x1 was true and x3 was true, then it previously held that x1, x2, and x3 are historically true.","x1: x1, x2: x2, x3: x3",H((x1 & x2 & x3) -> O(H(x1 & x2 & x3)))
"If the previous value of x1 was false, then x2 must have just transitioned from true to false, and x3 must have just transitioned from false to true.","x1: x1, x2: x2, x3: x3",H(Y(!x1) -> (Y(x2 & !x2) & Y(!x3 & x3)))
"If at some point in time, x1 becomes true and stays true, was it historically true that x1 previously becomes true or was it previously true that x1 was historically true?",x1: x1,H(O(H(x1)) | H(O(x1)))
Amy will not be present in the lounge if Catherine was there unless Barbara was also there to mediate.,"“Amy”: x1, “Barbara”: x2, “Catherine”: x3",H((x3 & !x2) -> !x1)
"If Barbara and Amy are in the lounge together, Catherine will be hanging out with Barbara regardless of if they hang in the lounge or not.","“Amy”: x1, “Barbara”: x2, “Catherine”: x3",H((x1 & x2) -> x3)
"Previously, they will all hang out in the lounge together.","x1: x1, x2: x2, x3: x3",O(x1 & x2 & x3)
"If x1 was historically true, then x2 will historically be true since x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> (x2 S !x3))
x2 and x3 will become true on the same step; x1 will become true the step before x2 becomes true; x4 will be true since x1 was true; x2 will be true at some point.,"x1: x1, x2: x2, x3: x3, x4: x4",O(x2 & x3) & H(Y(x2) -> x1) & H(x4 S x1) & O(x2)
"Call x1 the variable of, did I take my medicine? I try to historically take my medicine on time, but sometimes I forget. However, I never forget more than once in a row.",x1: x1,H(!x1 -> Y(x1))
Parents with high education will historically have children who would also pursue education.,"x1: x1, x2: x2",H(x1 -> x2)
"The variable x1 will be true at least once, but at some point it will never be true again.",x1: x1,O(x1) & H(!x1)
"If x1 was true, x2 and x3 were false.","x1: x1, x2: x2, x3: x3",H(x1 -> (!x2 & !x3))
"Whenever x1 was true, x2 was true since x3 was true, and x3 was true if x2 was true.","x1: x1, x2: x2, x3: x3",H(x1 -> (x2 S x3)) & H(x2 -> x3)
"If x1's previous state was true, x2 will previously be true.","x1: x1, x2: x2",H(Y(x1) -> O(x2))
x1 was historically true and x2 was false for at least the first two time steps.,"x1: x1, x2: x2",H(x1) & Y(!x2) & Y(Y(!x2))
It was historically true that x1 was true since x2 was previously false.,"x1: x1, x2: x2",H(x1 S O(!x2))
"If x1 was previously true, then x2 will be true at some point before.","x1: x1, x2: x2",O(x1) -> O(x2)
"It was historically the case that when x1 and x2 are true, then sometimes x3 was true.","x1: x1, x2: x2, x3: x3",H((x1 & x2) -> O(x3))
"If it's historically sunny outside (x1), then the plants will historically previously grow (x2) and you will also previously get a sunburn (x3).","x1: x1, x2: x2, x3: x3",H(x1 -> (O(x2) & O(x3)))
"x1 was true only when x3 was false, since the reverse was true previously.","x1: x1, x2: x2, x3: x3",H(x1 -> !x3) S O(x3)
The truth value of x1 alternates at each state.,x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
"x1 was true in the previous state, or x1 was true in all states.",x1: x1,H(Y(x1) | H(x1))
"x1 was historically true since x2 was true or x3 was true, and x3 will be true previously.","x1: x1, x2: x2, x3: x3",H(x1 S (x2 | x3)) & O(x3)
x3 was historically true if x1 and x2 are true in the previous state. x3 will previously be true.,"x1: x1, x2: x2, x3: x3",H((Y(x1 & x2)) -> x3) & O(x3)
x2 was never true or x2 was true since x1 was true.,"x1: x1, x2: x2",H(!x2 | (x2 S x1))
Jack got 50 in his midterm exam but he didn't want to fail that course and Jack had 100 in his final.,"“Jack got 50 in hwas midterm exam” : x1, “Jack had 100 in hwas final”: x2",O(x1) & H(!x2) & O(x2)
x1 and x2 will previously become true at the same time.,"x1: x1, x2: x2",O(x1 & x2)
"Whenever the Red light was on, it turns off in the previous state and on again in the state before that.","""Red light"" : x1",H(x1 -> (Y(!x1) & Y(Y(x1))))
"The Red light was on in exactly one state, but not necessarily the first state.","""Red light"" : x1",O(x1) & H(!x1 S x1) & H(!x1)
The Red light cannot stay lit for three states in a row.,"""Red light"" : x1",H(!(x1 & Y(x1) & Y(Y(x1))))
"Whenever the Red light was on, the Blue light will turn on at some point.","""Red light"" : x1, ""Blue"": x2",H(x1 -> O(x2))
"The Red light was lit for a finite number of steps, and then never again becomes lit.","""Red light"" : x1",O(x1) & H(!x1)
"Once the pump has been turned on, an initial pressure reading will be taken and dwasplayed, and before that the dwasplayed value for the pressure will be updated every 2 seconds.","""Pump on"" : x1, ""initial pressure reading"" : x2, ""update pressure reading"" : x3",H(x1 -> O(x2)) & H(x2 -> Y(Y(x2)))
Move to the Red room.,"""Red room"" : x1",O(x1)
Go through the blue room to the green room.,"""blue room"" : x1, ""green room"" : x2",O(x1 & O(x2))
Go to the blue room but avoid the Red room.,"""blue room"" : x1, ""red room"" : x2",O(x1 & H(!x2))
Go through Red or yellow to get to green.,"""Red room"" : x1, ""yellow room"" : x2, ""green room"" : x3",O((x1 | x2) & O(x3))
Find the science library.,"""science library"" : x1",O(x1)
Go to FedEx office and then go to CVS.,"""fedex office"" : x1, ""cvs"" : x2",O(x1 & O(x2))
Stay away from Main St and find Chipotle.,"""main st"" : x1, ""chipotle"" : x2",H(!x1) & O(x2)
Stay on Main St and find the bookstore.,"""bookstore"" : x1 , ""main st"" : x2",H(x1) & O(x2)
"If b held, then in the previous step, c held since a held or historically c held.","a : a, b : b, c : c",H(b -> Y(c S a))
"If b held at some point, a has to held somewhere beforehand.","a : a, b : b",H(b -> O(a))
"One of the following apps held at all instances: a, b, c.","a : a, b : b, c : c",H(a | b | c)
Every a was previously followed by an e.,"a : a, e : e",H(a -> O(e))
It was never the case that a and b held at the same time.,"a : a, b : b",H(!(a & b))
"Whenever a was enabled, b was enabled three steps later.","a : a, b : b",H(a -> Y(Y(Y(b))))
"e must held everywhere since, from some point on, d held infinitely often in the past.","e : e, d : d",H(e S O(H(d)))
"Whenever a held, b held as well.","a : a, b : b",H(a -> b)
Both a and b held in every time step.,"a : a, b : b",H(a & b)
"a held historically, and whenever b held, c does not held.","a : a, b : b, c : c",H(a) & H(b -> !c)
"If every a was previously followed by a b, then c needs to held infinitely often in the past in the past.","a : a, b : b, c : c",H(a -> O(b)) -> H(O(c))
"If a held infinitely often in the past, then b held infinitely often in the past as well.","a : a, b : b",H(O(a)) -> H(O(b))
Either a or b held infinitely often in the past.,"a : a, b : b",H(O(a)) | H(O(b))
a never held from some point in time on.,a : a,O(H(!a))
"Whenever a and b do not held, c held previously.","a : a, b : b, c : c",H(!a & !b -> O(c))
"a and b never occur at the same time, but one of them held in every time step.","a : a, b : b",H(!(a & b)) & H(a | b)
"Whenever the inputs a and b are the same, the outputs c and d are the same.","a : a, b : b, c : c, d : d",H((a <-> b) -> (c <-> d))
a can only happened if b happened before.,"a : a, b : b",H(a -> O(b))
"Once a happened, b will not happen again.","a : a, b : b",H(a -> H(!b))
a and b will not occur at the same time.,"a : a, b : b",H(!(a & b))
"Whenever a held and b held in the previous step, then c held one step before b.","a : a, b : b, c : c",H(a & Y(b) -> Y(Y(c)))
"Whenever a held, b held previously from the previous step on.","a : a, b : b",H(a -> O(Y(b)))
a held in every fifth step.,a : a,H(Y(Y(Y(Y(Y(a))))))
"Whenever a held, b must held in the previous two steps.","a : a, b : b",H(a -> (Y(b) & Y(Y(b))))
"If a held, b would have previously held in the past","a : a, b : b",H(a -> O(b))
"a must historically held, but if it exceeds, it allows two timestamps to recover.",a : a,H(a) & H(!a -> (Y(!a) & Y(Y(!a))))
a can only held every three timestamps.,a : a,a & H(a -> (Y(!a) & Y(Y(!a))) & Y(Y(Y(a)))))
Every a was followed by a b.,"a : a, b : b",H(a -> O(b))
"Previously, a and b held.","a : a, b : b",O(a & b)
Both a and b held previously.,"a : a, b : b",O(a) & O(b)
It was historically the case that a was the same as b in the previous step.,"a : a, b : b",H(a <-> Y(b))
a held since b held or historically a held.,"a : a, b : b",H(a S b) | H(a)
,,
,,
"Globally, if a held, then c was true since b.","a : a, b : b, c : c",H(a -> (c S b))
"a and b never occur at the same time, but one of them held in every time step.","a : a, b : b",H(!(a & b)) & H(a | b)
a can only happen if b happened before.,"a : a, b : b",H(a -> O(b))
a held since b held or historically a held.,"a : a, b : b",H(a S b) | H(a)
A user cannot join and leave in the same state.,"“join"" : x1, “leave” : x2",H(!(x1 & x2))
An object version cannot be added and removed in the same state.,"“add"" : x1, “remove” : x2",H(!(x1 & x2))
A subject cannot be created and simultaneously killed. Also the subject cannot perform read or update operations in the same state in which it was created ,"“create"" : x1, “kill"" : x2, “read"" : x3, “update"" : x4",H(!(x1 &  (x2 | x3 | x4)))
A version being updated to say v2 cannot be simultaneously read or further updated by any subject in the same state,"“update” : x1,”read” : x2",H(!(x1 &  (x2 | x1)))
"If x1 was true, then previously x2 was true since x1 was false.","x1: x1, x2: x2",H(x1 -> O(x2 S !x1))
"If the state before the previous state before the previous state x1 was true, then previously x2 was false and x3 was true.","x1: x1, x2: x2, x3: x3",H(Y(Y(x1)) -> O(!x2 & x3))
"It was historically the case that x1 was true since x2 was true, and it was historically the case that x1 and x2 are false.","x1: x1, x2: x2",H(x1 S x2) & H(!x1 & !x2)
It was historically the case that previously the state before the previous state before the previous state x1 was true.,x1: x1,H(O(Y(Y(x1))))
"It was historically the case that if x1 was true, then x2 was false, and if x2 was true, then x1 was false.","x1: x1, x2: x2",H((x1 -> !x2) & (x2 -> !x1))
"It was historically the case that if the state before the previous state before the previous state x1 was true, then x2 was true.","x1: x1, x2: x2",H(Y(Y(x1)) -> x2)
"Previously, it was historically the case that x1 was previously true.",x1: x1,O(H(O(x1)))
"It was historically the case that if in the previous state x1 was false, then x1 was true.",x1: x1,H(Y(!x1) -> x1)
"It was historically the case that if x1 was true, then x2 was false and x3 was false, and it was historically the case that if x2 or x3 was true, then x1 was false.","x1: x1, x2: x2, x3: x3",H((x1 -> (!x2 & !x3)) & ((x2 | x3) -> !x1))
"It was historically the case that if x1 was true, then in the previous state x2 was true, and in the state before the previous state x3 was false.","x1: x1, x2: x2, x3: x3",H(x1 -> (Y(x2) & Y(Y(!x3))))
"It was historically the case that if previously x1 was true, then in the previous state x1 was false, and if x2 was true, then x2 was false.","x1: x1, x2: x2",H(O(x1) -> Y(!x1)) & H(x2 -> Y(!x2))
"It was historically the case that if x1 was false, then it was historically the case that x1 was true or previously x2 was true.","x1: x1, x2: x2",H(!x1 -> (H(x1) | O(x2)))
"It was historically the case that if x1 was historically true, then previously x2 was true.","x1: x1, x2: x2",H(H(x1) -> O(x2))
"x1 was true since x2 happens to be true, or it was historically the case that if x1 was true, then in the previous state x1 was false.","x1: x1, x2: x2",H(x1 S x2) | H(x1 -> Y(!x1))
"Was it historically the case that in the previous state x1 was true, and previously if x1 was true, then x2 was true?","x1: x1, x2: x2",H(Y(x1)) & H(x1 -> O(x2))
"If in the previous state x1 was false since x1 was true, then previously x1 was false.",x1: x1,H(Y(!x1 S x1) -> O(!x1))
"If previously x2 and x1 are true, then x1 was true since x2 happens to be true, or in the previous state x2 was true.","x1: x1, x2: x2",H(O(x1 & x2) -> (x1 S x2 | Y(x2)))
"If x1 was true, then previously it was historically the case that in the previous state x1 was true.",x1: x1,H(x1 -> O(H(Y(x1))))
"If previously x1, x2, and x3 are true, then x4 was true, and if it was not the case that previously x1, x2, and x3 are true, then x4 was false.","x1: x1, x2: x2, x3: x3, x4: x4",H(O(x1 & x2 & x3) -> x4) & H(!O(x1 & x2 & x3) -> !x4)
"It was historically the case that if x1 was false, then x2 was false, and if x2 was false, then x1 was false. And previously x1 and x2 are true.","x1: x1, x2: x2",H((!x1 -> !x2) & (!x2 -> !x1)) & O(x1 & x2)
"In the previous state, if x1 was true, then in the state before the previous state before the previous state x2 was true.","x1: x1, x2: x2",H(Y(x1) -> Y(Y(x2)))
"It was historically the case that x1 was true and x2 was false, and if x1 was true, x2 cannot be true in the same state. Then it was historically the case that x2 was false.","x1: x1, x2: x2",H(x1 & !x2) & H(x1 -> !x2) & H(!x2)
"Previously, it was historically the case that x1 was true, or it was historically the case that previously x1 was true.",x1: x1,O(H(x1)) | H(O(x1))
"If x1 was true, then previously x1 was false, and if x1 was false, then previously x1 was true.",x1: x1,H(x1 -> O(!x1)) & H(!x1 -> O(x1))
x1 was true if and only if x2 was true since it was the case that x1 was since x3 was true.,"x1: x1, x2: x2, x3: x3",H(x1 <-> (x2 S (x1 S x3)))
"It was historically the case that x1 and x2 are false, and it was historically the case that x1 or x2 was true.","x1: x1, x2: x2",H(!x1 & !x2) & H(x1 | x2)
"It was historically the case that x1 or x2 was true, and in the previous state, it was historically the case that x2 was true.","x1: x1, x2: x2",H(x1 | x2) & H(Y(x2))
"If it was historically the case that x1 was false and in the previous state x1 was true, then in the previous state previously x2 was true.","x1: x1, x2: x2",H(H(!x1) & Y(x1) -> Y(O(x2)))
It was historically the case that previously x1 was true or previously x2 was true.,"x1: x1, x2: x2",H(O(x1) | O(x2))
"If x1 was true, then in the previous state x1 was false, and previously x2 was true.","x1: x1, x2: x2",H(x1 -> (Y(!x1) & O(x2)))
"If previously x1 was true, then it was historically the case that x1 was true.",x1: x1,H(O(x1) -> H(x1))
"It was historically the case that previously if x1 was true, then in the previous state x2 was true since x3 was false.","x1: x1, x2: x2, x3: x3",H(O(x1) -> (Y(x2) S !x3))
"It was historically the case that previously if x1 was true, then x1 was false.",x1: x1,H(O(x1) -> O(!x1))
"It was historically the case that previously it was historically the case that x1 was true, and previously it was historically the case that previously x2 was true.","x1: x1, x2: x2",H(O(H(x1)) & O(H(O(x2))))
"If Red was initially lit, then it was also lit before three steps.","“red"" : x1",x1 -> Y(Y(Y(x1)))
Red was lit before 3 or more steps.,"“red"" : x1",O(Y(Y(Y(x1))))
"If Red was previously lit, then Blue was historically lit.","“red” : x1, “blue” : x2",O(x1) -> H(x2)
"If Red was initially lit, then it was also lit before three steps.",“red” : x1,x1 -> Y(Y(Y(x1)))
"Blue was previously lit, and Red was historically lit.","“red” : x1, “blue” : x2",O(x2) & H(x1)
"Whenever Red was lit, it turns off in the previous state and on again in the state before that.",“red” : x1,H(x1 -> (Y(!x1) & Y(Y(x1))))
"If the engine was on, the engine will be on 3 states from now.","""Engine on” : x1",H(x1 -> Y(Y(Y(x1))))
"Before two states have passed, previously the engine before these the previous state will be on.","""Engine on” : x1",H(Y(Y(O(Y(x1)))))
"If the engine previously turns on, then the light was historically on.","""Engine on” : x1, “blue"" : x2",O(x1) -> H(x2)
"The engine will be on since the light turns on, and the engine was historically on.","""Engine on” : x1, ""Light on” : x2",H(x1 S x2) & H(x1)
"If the engine was on, then in the previous state the engine was not on, and two states later it turns back on.","""Engine on” : x1",H(x1 -> (Y(!x1) & Y(Y(x1))))
It was not the case that once x1 was false.,x1: x1,!O(!x1)
"It was historically the case that x1 was true, and historically x2 was true since x1 was true, and once x2 remains true.","x1: x1, x2: x2",H(x1) & H(x2 S x1) & O(H(x2))
"It was historically the case that x1 was true and x2 was false, and once x3 was true.","x1: x1, x2: x2, x3: x3",H(x1 & !x2) & O(x3)
"It was historically the case that once if x1 was true, then once historically x1 will be true.","x1: x1, x2: x2",H(O(x1) -> O(H(x1)))
"If x1 was true and x2 was false, then once x1 was false since x2 happens.","x1: x1, x2: x2",H((x1 & !x2) -> O(!x1 S x2))
"If once x1 and x2 are true, then historically if x1 was true, then x2 was true, and if x2 was true, then x1 was true.","x1: x1, x2: x2",H(O(x1 & x2) -> (H(x1 -> x2) & H(x2 -> x1)))
It was not the case that historically x1 was true since historically x1 was false.,x1: x1,!H(x1 S H(!x1))
"Once, if x1 was true, then historically x1 was true since x1 was false.",x1: x1,O(x1 -> H(x1 S !x1))
"It was historically the case that if x1 was true, then in the previous state x1 was false, and if x1 was false, then in the previous state x1 will be true.",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
It was historically the case that once in the previous state x1 will be true.,x1: x1,H(O(Y(x1)))
"It was historically the case that x1 was true, and it was historically the case that x1 was false.",x1: x1,H(x1) & H(!x1)
"If the state before the previous state x1 was true, then in the previous state x1 was true.",x1: x1,H(Y(Y(x1)) -> Y(x1))
"Once x1 was true, and it was historically the case that x1 was false.",x1: x1,O(x1) & H(!x1)
"It was historically the case that once x2 was true since, in the previous state, x1 was true.","x1: x1, x2: x2",H(O(x2) S Y(x1))
"In the previous state, it was historically the case that if x1 was true, then once x1 was true.",x1: x1,H(Y(x1) -> O(x1))
"x3 was true since x1 was true, or x3 was historically true, and once x2 was true.","x1: x1, x2: x2, x3: x3",H(x3 S x1) | (H(x3) & O(x2))
"If x1 was true, x1 must be true in the previous state.",x1: x1,H(x1 -> Y(x1))
"Once, it was historically the case that if x1 was true, then in the previous state x1 was true, and in the state before the previous state x1 was false, and historically if x1 was false, then in the previous state x1 was false, and then the state before the previous state was true.",x1: x1,O(H((x1 -> (Y(x1) & Y(Y(!x1)))) & (!x1 -> (Y(!x1) & Y(Y(x1))))))
"If x1 was true, then it was historically the case that x2 was false, and once x1 was false since x1 was true.","x1: x1, x2: x2",H(x1 -> (H(!x2) & O(!x1 S x1)))
"It was historically the case that x1 was true since x1 was false, and x1 was false since x1 was true.",x1: x1,H(x1 S !x1) & H(!x1 S x1)
"Once, x1 was true if and only if in the previous state x2 was false, or it was historically the case that x2 was true.","x1: x1, x2: x2",O(x1 <-> (Y(!x2) | H(x2)))
"It was historically the case that if x2 was true, then it was not the case that once x1 was true, and if x3 was true, then it was not the case that once x2 was true.","x1: x1, x2: x2, x3: x3",H((x2 -> !O(x1)) & (x3 -> !O(x2)))
"Once, it was historically the case that x1 was true since x2 was true.","x1: x1, x2: x2",O(H(x1 S x2))
"If x1 and x2 are true, then in the previous state x3 was true, and in the state before the previous state x3 was false.","x1: x1, x2: x2, x3: x3",H((x1 & x2) -> (Y(x3) & Y(Y(!x3))))
"If x1 was true, then in the previous state x1 was true, and if in the previous state x1 was true, then it was the case that in the state before the previous state x1 was true.",x1: x1,H(x1 -> Y(x1)) & H(Y(x1) -> Y(Y(x1)))
"x1 went first, then x2 went, then x3 went.","x1: x1, x2: x2, x3: x3",(x1 & !x2 & !x3) S (x2 & !x3) S x3
"For a while, it was never the case that x1 was true and x2 was false at the same time, but after some point, x2 remained true.","x1: x1, x2: x2",(H (x1 -> x2)) S (H x2)
"x3 had been true if and only if x1 and x2 had been true in the previous state, and x1 and x2 had been true at some point earlier.","x1: x1, x2: x2",H(x3 <-> (Y(x1 & x2) & Y(x1 & x2)))
"x1 had sometimes been true until x2 became true, and must have been false afterward.","x1: x1, x2: x2",(x1 S !x2) & H(x2 -> !x1)
"It had always been the case that once x1 had been true, x2 became true. x3 had not been true until both x1 and x2 had been true.","x1: x1, x2: x2",H((Y(x1) -> x2) & (x3 S (x1 & x2)))
"If (x1 and x2) had been true at some point, then x1 had been false until it became true. Otherwise, if x2 had been true, x1 had eventually been true.","x1: x1, x2: x2",((Y(x1 & x2)) -> (!x1 S x1)) & ((Y(x2)) -> Y(x1))
"Given states x1, x2, and x3: they had always transitioned in a cycle (x1 -> x2 -> x3 -> x1 ...)","x1: x1, x2: x2, x3: x3",H((x1 -> Y(x3)) & (x2 -> Y(x1)) & (x3 -> Y(x2)))
"If x1 had never been true, then x2 and x3 had always alternated in being true, with only one being true at a time.","x1: x1, x2: x2, x3: x3",(!Y(x1)) -> H((x2 <-> !x3) & (x3 <-> !x2))
"If x1 had always been true, then x2 had been true until x3 had become false.","x1: x1, x2: x2, x3: x3",(H(x1)) -> (x2 S !x3)
"x2 and x3 had become true in the same step, x1 had become true in the step after x2 had become true, x4 had been true until x1 had been true, and x2 had been true at some point.","x1: x1, x2: x2, x3: x3",(x2 & x3) & Y(x1 & Y(x2)) & (x4 S x1) & Y(x2)
"Blue had been on in state 1, off in 2, and had alternated forever.",“Blue” : x1,H(x1 <-> !Y(x1))
"It had always been the case that if x1 had been true, it had been false in the previous state, and vice versa.",x1: x1,H((x1 -> Y(!x1)) & (!x1 -> Y(x1)))
